video_name,video_path,resolution,width,height,fps,codec,pix_fmt,bit_depth,bitrate(Mbps),duration(s),size(b),colorspace,color_transfer,color_range,color_primaries,fps_float,bit_per_frame_per_pixel
V9Ipg2jA9cg_735.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/V9Ipg2jA9cg_735.webm,16:9,3840,2160,24/1,vp9,yuv420p10le,,22.035778987614535,"734.167000
",16177941752,bt2020nc,smpte2084,tv,bt2020,24.0,1.1069606696292345e-07
qR5vOXbZsI4_889.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/qR5vOXbZsI4_889.webm,16:9,3840,2160,24/1,vp9,yuv420p10le,,21.272286348474196,"888.875000
",18908403528,bt2020nc,smpte2084,tv,bt2020,24.0,1.0686068486204646e-07
Yox26GPG7TU_1021.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/Yox26GPG7TU_1021.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,29.861049848625875,"1020.650000
",30477680528,bt2020nc,arib-std-b67,tv,bt2020,60.0,6.000243105514137e-08
RgTL88tPwR8_887.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/RgTL88tPwR8_887.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.87832825780995,"886.017000
",25586689768,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.802776222071508e-08
3ckAESlpVTo_762.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/3ckAESlpVTo_762.webm,16:9,3840,2160,24/1,vp9,yuv420p10le,,21.32520920017916,"761.333000
",16235585496,bt2020nc,smpte2084,tv,bt2020,24.0,1.0712654120138868e-07
fXs3ho8djrQ_1179.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/fXs3ho8djrQ_1179.webm,16:9,3840,2160,30000/1001,vp9,yuv420p10le,,23.546407285296645,"1178.044000
",27738703824,bt2020nc,arib-std-b67,tv,bt2020,29.97002997002997,9.472235762515249e-08
Nt3eGBv8h3Q_601.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/Nt3eGBv8h3Q_601.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.743015135675044,"600.700000
",17265929192,bt2020nc,smpte2084,tv,bt2020,60.0,5.775586567578737e-08
GmoltNtieu0_893.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/GmoltNtieu0_893.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,29.11059204121633,"892.850000
",25991392104,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.8494470247428646e-08
14CB6tMPXkg_1105.mp4,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/14CB6tMPXkg_1105.mp4,16:9,7680,4320,30000/1001,av1,yuv420p10le,,61.324350464243714,1104.570133,54753446312,bt2020nc,smpte2084,tv,bt2020,29.97002997002997,6.167381487781712e-08
jrQU-1y-zjw_601.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/jrQU-1y-zjw_601.webm,16:9,3840,2160,30/1,vp9,yuv420p10le,,23.561762336539086,"600.067000
",14138636040,bt2020nc,arib-std-b67,tv,bt2020,30.0,9.468943840237222e-08
duYRjNDONG8_789.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/duYRjNDONG8_789.webm,16:9,3840,2160,30000/1001,vp9,yuv420p10le,,20.80521177333364,"788.154000
",16397710880,bt2020nc,smpte2084,tv,bt2020,29.97002997002997,8.369509140748366e-08
fyVgOEk5lTU_1114.mp4,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/fyVgOEk5lTU_1114.mp4,16:9,7680,4320,30000/1001,av1,yuv420p10le,,65.66344360112363,1113.212100,51752905728,bt2020nc,arib-std-b67,tv,bt2020,29.97002997002997,6.60376348748601e-08
YjQida5xoSc_603.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/YjQida5xoSc_603.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.922080337312547,"602.883000
",17436630560,bt2020nc,smpte2084,tv,bt2020,60.0,5.811567711812096e-08
47MhQXJ-YG8_1082.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/47MhQXJ-YG8_1082.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.954643838757395,"1081.600000
",31317342776,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.818110982260601e-08
ZEawTGN4NhU_754.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/ZEawTGN4NhU_754.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,28.7183341034464,"753.569000
",21641246312,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.776397514414972e-08
8vUJKx0u5F0_739.mp4,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/8vUJKx0u5F0_739.mp4,16:9,7680,4320,60000/1001,av1,yuv420p10le,,57.07872587115447,738.254183,43012758376,bt2020nc,smpte2084,tv,bt2020,59.94005994005994,2.8701998033324503e-08
cCb10o0BlSE_735.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/cCb10o0BlSE_735.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,27.83319979101131,"734.968000
",20456511184,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.598361851766285e-08
