video_name,video_path,resolution,width,height,fps,codec,pix_fmt,bit_depth,bitrate(Mbps),duration(s),size(b),colorspace,color_transfer,color_range,color_primaries,fps_float,bit_per_frame_per_pixel
Yox26GPG7TU_1021.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/Yox26GPG7TU_1021.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,29.861049848625875,"1020.650000
",30477680528,bt2020nc,arib-std-b67,tv,bt2020,60.0,6.000243105514137e-08
RgTL88tPwR8_887.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/RgTL88tPwR8_887.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.87832825780995,"886.017000
",25586689768,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.802776222071508e-08
Nt3eGBv8h3Q_601.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/Nt3eGBv8h3Q_601.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.743015135675044,"600.700000
",17265929192,bt2020nc,smpte2084,tv,bt2020,60.0,5.775586567578737e-08
GmoltNtieu0_893.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/GmoltNtieu0_893.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,29.11059204121633,"892.850000
",25991392104,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.8494470247428646e-08
YjQida5xoSc_603.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/YjQida5xoSc_603.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.922080337312547,"602.883000
",17436630560,bt2020nc,smpte2084,tv,bt2020,60.0,5.811567711812096e-08
47MhQXJ-YG8_1082.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/47MhQXJ-YG8_1082.webm,16:9,3840,2160,60/1,vp9,yuv420p10le,,28.954643838757395,"1081.600000
",31317342776,bt2020nc,arib-std-b67,tv,bt2020,60.0,5.818110982260601e-08
ZEawTGN4NhU_754.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/ZEawTGN4NhU_754.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,28.7183341034464,"753.569000
",21641246312,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.776397514414972e-08
RxLoIGHR2IY_1159.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/RxLoIGHR2IY_1159.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,28.760218899220042,"1158.524000
",33319403840,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.784822210267007e-08
z77E_pDWui4_1189.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/z77E_pDWui4_1189.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,28.69647057635913,"1188.738000
",34112585040,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.771999890824817e-08
0tPBzIWWqBk_713.webm,/media/ss223464/JoshuaUTA/SantaFe/Dataset/10k_word_10_20_mins/0tPBzIWWqBk_713.webm,16:9,3840,2160,19001/317,vp9,yuv420p10le,,28.709570685917537,"712.695000
",20461167480,bt2020nc,smpte2084,tv,bt2020,59.94006309148265,5.774634843117634e-08
